CATEGORY_ID,CATEGORY_NAME,CRIME_TYPE,KEYWORDS_LIST,AI_PROMPT_TEXT,LAST_UPDATED
6777543897,Burglary,BURGLARY: Forcible entry,"{break-in,trespass,forced,burglarized,smashed,robbed,intruder,house}",Can you describe what was broken into and any items that were taken? Knowing the location and time can also be helpful.,2024-11-07 02:04:25.110677
1116413286,Burglary,BURGLARY: Unlawful entry - no force,"{break-in,trespass,forced,burglarized,smashed,robbed,intruder,house}",Can you describe what was broken into and any items that were taken? Knowing the location and time can also be helpful.,2024-11-07 02:04:25.110677
6750085185,Fraud,FRAUD: Other Fraud,"{scam,cheat,stolenidentity,fake,trick,fraud,lie,phony,rippedoff,forged}","Could you explain what happened? If you noticed any unusual transactions or were tricked into giving out information, we’d like to know.",2024-11-07 02:04:25.110677
2439161293,Miscellaneous Offenses,OTHER: All Other Offenses,"{offense,crime,illegal,charge,violation,misconduct,unlawful,wrong}",Please describe the situation in as much detail as you can. Any information you provide will be useful.,2024-11-07 02:04:25.110677
3517031816,Theft,THEFT: All other larceny,"{stolen,missing,took,break-in,rob,purse,snatch,valuables,swipe,break,steal}",Could you share details on any items that went missing and where this happened? Any specifics you remember could be really helpful.,2024-11-07 02:04:25.110677
2692888345,Theft,OTHER: Stolen Property,"{stolen,missing,took,break-in,rob,purse,snatch,valuables,swipe,break,steal}",Could you share details on any items that went missing and where this happened? Any specifics you remember could be really helpful.,2024-11-07 02:04:25.110677
1280909710,Unknown,VANDALISM: Vandalism,{},"Could you tell us more about this unknown? Any details about the people involved, location, or what happened would help.",2024-11-07 02:04:25.110677
2536029019,Assault,ASSAULT: Other Assaults,"{attack,hit,hurt,fight,punched,violence,weapon,threaten,injured,abuse}","Can you describe what happened during the incident? If there were any injuries or weapons involved, please feel free to mention those details.",2024-11-07 02:04:25.110677
6431721713,Theft,THEFT: Theft from motor vehicle,"{stolen,missing,took,break-in,rob,purse,snatch,valuables,swipe,break,steal}",Could you share details on any items that went missing and where this happened? Any specifics you remember could be really helpful.,2024-11-07 02:04:25.110677
7326947380,Theft,THEFT: Shoplifting,"{stolen,missing,took,break-in,rob,purse,snatch,valuables,swipe,break,steal}",Could you share details on any items that went missing and where this happened? Any specifics you remember could be really helpful.,2024-11-07 02:04:25.110677
1169858978,Assault,Other Assaults - Not Aggravated,"{attack,hit,hurt,fight,punched,violence,weapon,threaten,injured,abuse}","Can you describe what happened during the incident? If there were any injuries or weapons involved, please feel free to mention those details.",2024-11-07 02:04:25.110677
1421665848,Robbery,ROBBERY: Strong-Arm,"{robbed,hold-up,mugged,gun,took,cash,wallet,money,stole,armed}","Can you share what was taken, and any details you remember about the person or people involved? It’s important to know if a weapon was used.",2024-11-07 02:04:25.110677
2716174754,Disturbing the Peace,DISTURBING THE PEACE: Disorderly Conduct,"{loud,noise,yelling,argument,disturbance,music,party,fight,scene}","Could you tell us more about this disturbing the peace? Any details about the people involved, location, or what happened would help.",2024-11-07 02:04:25.110677
8796216093,Theft,MOTOR VEH. THEFT: Autos,"{stolen,missing,took,break-in,rob,purse,snatch,valuables,swipe,break,steal}",Could you share details on any items that went missing and where this happened? Any specifics you remember could be really helpful.,2024-11-07 02:04:25.110677
3835070883,Theft,THEFT: Theft of motor vehicle parts or accessories,"{stolen,missing,took,break-in,rob,purse,snatch,valuables,swipe,break,steal}",Could you share details on any items that went missing and where this happened? Any specifics you remember could be really helpful.,2024-11-07 02:04:25.110677
7302625281,Burglary,BURGLARY: Attempted forcible entry,"{break-in,trespass,forced,burglarized,smashed,robbed,intruder,house}",Can you describe what was broken into and any items that were taken? Knowing the location and time can also be helpful.,2024-11-07 02:04:25.110677
2153764390,Assault,ASSAULT: Strong-Arm,"{attack,hit,hurt,fight,punched,violence,weapon,threaten,injured,abuse}","Can you describe what happened during the incident? If there were any injuries or weapons involved, please feel free to mention those details.",2024-11-07 02:04:25.110677
6866542640,Theft,MOTOR VEH. THEFT: Trucks and buses,"{stolen,missing,took,break-in,rob,purse,snatch,valuables,swipe,break,steal}",Could you share details on any items that went missing and where this happened? Any specifics you remember could be really helpful.,2024-11-07 02:04:25.110677
13429246,Drug-Related Crimes,DRUG ABUSE VIOLATIONS,"{drugs,high,stoned,DUI,drunk,possession,pills,weed,substance,narcotics}","If you noticed any substances or drug paraphernalia, could you let us know? Any context on how or where you observed it would be great.",2024-11-07 02:04:25.110677
2612994165,Theft,THEFT: Theft of bicycles,"{stolen,missing,took,break-in,rob,purse,snatch,valuables,swipe,break,steal}",Could you share details on any items that went missing and where this happened? Any specifics you remember could be really helpful.,2024-11-07 02:04:25.110677
1755282942,Fraud,FRAUD: Forgery & Counterfeiting,"{scam,cheat,stolenidentity,fake,trick,fraud,lie,phony,rippedoff,forged}","Could you explain what happened? If you noticed any unusual transactions or were tricked into giving out information, we’d like to know.",2024-11-07 02:04:25.110677
948990208,Driving Offenses,OTHER: DUI,"{driving,DUI,drunk,reckless,swerved,crash,speeding,influence}",Could you tell us more about what happened? Any details on the vehicle or the person’s behavior could be helpful.,2024-11-07 02:04:25.110677
4497222587,Assault,ASSAULT: Firearm,"{attack,hit,hurt,fight,punched,violence,weapon,threaten,injured,abuse}","Can you describe what happened during the incident? If there were any injuries or weapons involved, please feel free to mention those details.",2024-11-07 02:04:25.110677
2685190167,Theft,THEFT: Theft from buildings,"{stolen,missing,took,break-in,rob,purse,snatch,valuables,swipe,break,steal}",Could you share details on any items that went missing and where this happened? Any specifics you remember could be really helpful.,2024-11-07 02:04:25.110677
24928090,Fraud,FRAUD: Embezzlement,"{scam,cheat,stolenidentity,fake,trick,fraud,lie,phony,rippedoff,forged}","Could you explain what happened? If you noticed any unusual transactions or were tricked into giving out information, we’d like to know.",2024-11-07 02:04:25.110677
2017820338,Weapons Violations,"WEAPONS: Carrying, Possessing, etc.","{gun,weapon,armed,illegal,knife,shooting,discharge,firearm,loaded}","If you saw any weapons or suspicious items, could you describe them? Details on when and where you noticed them would help.",2024-11-07 02:04:25.110677
3914104623,Robbery,ROBBERY: Knife or cutting instrument,"{robbed,hold-up,mugged,gun,took,cash,wallet,money,stole,armed}","Can you share what was taken, and any details you remember about the person or people involved? It’s important to know if a weapon was used.",2024-11-07 02:04:25.110677
3333312692,Unknown,SEX CRIMES: Sex Offenses,{},"Could you tell us more about this unknown? Any details about the people involved, location, or what happened would help.",2024-11-07 02:04:25.110677
1501721835,Assault,ASSAULT: Other dangerous weapon,"{attack,hit,hurt,fight,punched,violence,weapon,threaten,injured,abuse}","Can you describe what happened during the incident? If there were any injuries or weapons involved, please feel free to mention those details.",2024-11-07 02:04:25.110677
1840125323,Family Offenses,OTHER: Offenses Against Family,"{domestic,family,abuse,household,child,spouse,neglect,violent,argument}","If possible, please share some details on the situation. Any context or background you think is important would be valuable.",2024-11-07 02:04:25.110677
5160414579,Sex Crimes,SEX CRIMES: Prostitution/Vice,"{harassed,assaulted,inappropriate,molest,abuse,touched,violated,indecent}","If you feel comfortable, could you tell us about the incident? Any information on what occurred and where it took place would help.",2024-11-07 02:04:25.110677
5069393020,Robbery,ROBBERY: Firearm,"{robbed,hold-up,mugged,gun,took,cash,wallet,money,stole,armed}","Can you share what was taken, and any details you remember about the person or people involved? It’s important to know if a weapon was used.",2024-11-07 02:04:25.110677
5304729760,Sex Crimes,SEX CRIMES: Sexual Assault,"{harassed,assaulted,inappropriate,molest,abuse,touched,violated,indecent}","If you feel comfortable, could you tell us about the incident? Any information on what occurred and where it took place would help.",2024-11-07 02:04:25.110677
2381021922,Robbery,ROBBERY: Other dangerous weapon,"{robbed,hold-up,mugged,gun,took,cash,wallet,money,stole,armed}","Can you share what was taken, and any details you remember about the person or people involved? It’s important to know if a weapon was used.",2024-11-07 02:04:25.110677
563340578,Theft,THEFT: Purse snatching,"{stolen,missing,took,break-in,rob,purse,snatch,valuables,swipe,break,steal}",Could you share details on any items that went missing and where this happened? Any specifics you remember could be really helpful.,2024-11-07 02:04:25.110677
3038462696,Theft,MOTOR VEH. THEFT: Other vehicles,"{stolen,missing,took,break-in,rob,purse,snatch,valuables,swipe,break,steal}",Could you share details on any items that went missing and where this happened? Any specifics you remember could be really helpful.,2024-11-07 02:04:25.110677
140205480,Curfew and Loitering,OTHER: Curfew and Loitering,"{curfew,loiter,minors,wandering,hangingout,late,stayingout,street}","Could you tell us more about this curfew and loitering? Any details about the people involved, location, or what happened would help.",2024-11-07 02:04:25.110677
8892560243,Homicide,HOMICIDE: Murder & non-negligent manslaughter,"{killed,murder,shot,dead,stabbed,gun,homicide,death,body,weapon}","Could you share what you know about the incident, like where and when it happened, and any details about those involved?",2024-11-07 02:04:25.110677
5374235686,Theft,THEFT: Pocket picking,"{stolen,missing,took,break-in,rob,purse,snatch,valuables,swipe,break,steal}",Could you share details on any items that went missing and where this happened? Any specifics you remember could be really helpful.,2024-11-07 02:04:25.110677
8412630884,Assault,ASSAULT: Knife or cutting instrument,"{attack,hit,hurt,fight,punched,violence,weapon,threaten,injured,abuse}","Can you describe what happened during the incident? If there were any injuries or weapons involved, please feel free to mention those details.",2024-11-07 02:04:25.110677
3508026170,Theft,THEFT: Theft from coin-operated machine or device,"{stolen,missing,took,break-in,rob,purse,snatch,valuables,swipe,break,steal}",Could you share details on any items that went missing and where this happened? Any specifics you remember could be really helpful.,2024-11-07 02:04:25.110677
3261537595,Vandalism,DESTRUCTION / DAMAGE / VANDALISM OF PROPERTY,"{vandalized,damage,graffiti,broke,spray,smashed,ruin,trash,wreck,destroyed}",Could you describe the damage or graffiti you noticed? Any details on the location or what might have been damaged would be useful.,2024-11-07 02:04:25.110677
6562172998,Family Offenses,"FAMILY OFFENSES, NONVIOLENT","{domestic,family,abuse,household,child,spouse,neglect,violent,argument}","If possible, please share some details on the situation. Any context or background you think is important would be valuable.",2024-11-07 02:04:25.110677
8069105496,Assault,SIMPLE ASSAULT,"{attack,hit,hurt,fight,punched,violence,weapon,threaten,injured,abuse}","Can you describe what happened during the incident? If there were any injuries or weapons involved, please feel free to mention those details.",2024-11-07 02:04:25.110677
7693640299,Burglary,BURGLARY/BREAKING AND ENTERING,"{break-in,trespass,forced,burglarized,smashed,robbed,intruder,house}",Can you describe what was broken into and any items that were taken? Knowing the location and time can also be helpful.,2024-11-07 02:04:25.110677
3109250627,Miscellaneous Offenses,ALL OTHER OFFENSES,"{offense,crime,illegal,charge,violation,misconduct,unlawful,wrong}",Please describe the situation in as much detail as you can. Any information you provide will be useful.,2024-11-07 02:04:25.110677
4290113127,Driving Offenses,DRIVING UNDER THE INFLUENCE,"{driving,DUI,drunk,reckless,swerved,crash,speeding,influence}",Could you tell us more about what happened? Any details on the vehicle or the person’s behavior could be helpful.,2024-11-07 02:04:25.110677
8203767216,Assault,AGGRAVATED ASSAULT,"{attack,hit,hurt,fight,punched,violence,weapon,threaten,injured,abuse}","Can you describe what happened during the incident? If there were any injuries or weapons involved, please feel free to mention those details.",2024-11-07 02:04:25.110677
3914888249,Theft,STOLEN PROPERTY OFFENSES,"{stolen,missing,took,break-in,rob,purse,snatch,valuables,swipe,break,steal}",Could you share details on any items that went missing and where this happened? Any specifics you remember could be really helpful.,2024-11-07 02:04:25.110677
5899651228,Kidnapping/Abduction,KIDNAPPING / ABDUCTION,"{kidnapped,took,child,missing,ransom,gone,stranger,grabbed}","Please let us know what you observed. Any details about the person taken, location, or those involved could be crucial.",2024-11-07 02:04:25.110677
6722898806,Theft,MOTOR VEHICLE THEFT,"{stolen,missing,took,break-in,rob,purse,snatch,valuables,swipe,break,steal}",Could you share details on any items that went missing and where this happened? Any specifics you remember could be really helpful.,2024-11-07 02:04:25.110677
4843469513,Theft,THEFT FROM BUILDING,"{stolen,missing,took,break-in,rob,purse,snatch,valuables,swipe,break,steal}",Could you share details on any items that went missing and where this happened? Any specifics you remember could be really helpful.,2024-11-07 02:04:25.110677
9048777765,Theft,ALL OTHER LARCENY,"{stolen,missing,took,break-in,rob,purse,snatch,valuables,swipe,break,steal}",Could you share details on any items that went missing and where this happened? Any specifics you remember could be really helpful.,2024-11-07 02:04:25.110677
724420017,Fraud,FALSEPRETENSES / SWINDLE / CONFIDENCEGAME,"{scam,cheat,stolenidentity,fake,trick,fraud,lie,phony,rippedoff,forged}","Could you explain what happened? If you noticed any unusual transactions or were tricked into giving out information, we’d like to know.",2024-11-07 02:04:25.110677
1169583751,Theft,THEFT OF MOTOR VEHICLE PARTS OR ACCESSORIES,"{stolen,missing,took,break-in,rob,purse,snatch,valuables,swipe,break,steal}",Could you share details on any items that went missing and where this happened? Any specifics you remember could be really helpful.,2024-11-07 02:04:25.110677
8269284331,Weapons Violations,WEAPON LAW VIOLATIONS,"{gun,weapon,armed,illegal,knife,shooting,discharge,firearm,loaded}","If you saw any weapons or suspicious items, could you describe them? Details on when and where you noticed them would help.",2024-11-07 02:04:25.110677
3261856327,Fraud,CREDITCARD / AUTOMATED TELLER MACHINE FRAUD,"{scam,cheat,stolenidentity,fake,trick,fraud,lie,phony,rippedoff,forged}","Could you explain what happened? If you noticed any unusual transactions or were tricked into giving out information, we’d like to know.",2024-11-07 02:04:25.110677
6003963855,Theft,SHOPLIFTING,"{stolen,missing,took,break-in,rob,purse,snatch,valuables,swipe,break,steal}",Could you share details on any items that went missing and where this happened? Any specifics you remember could be really helpful.,2024-11-07 02:04:25.110677
755518763,Disturbing the Peace,DISORDERLY CONDUCT,"{loud,noise,yelling,argument,disturbance,music,party,fight,scene}","Could you tell us more about this disturbing the peace? Any details about the people involved, location, or what happened would help.",2024-11-07 02:04:25.110677
8264073139,Trespassing,TRESPASS OF REAL PROPERTY,"{trespass,property,invade,break-in,yard,unauthorized,premises,unwelcome}",Could you tell us where this occurred and if there were any signs of forced entry? Any details on the person involved would help.,2024-11-07 02:04:25.110677
7687179692,Fraud,IMPERSONATION,"{scam,cheat,stolenidentity,fake,trick,fraud,lie,phony,rippedoff,forged}","Could you explain what happened? If you noticed any unusual transactions or were tricked into giving out information, we’d like to know.",2024-11-07 02:04:25.110677
3174583690,Robbery,ROBBERY,"{robbed,hold-up,mugged,gun,took,cash,wallet,money,stole,armed}","Can you share what was taken, and any details you remember about the person or people involved? It’s important to know if a weapon was used.",2024-11-07 02:04:25.110677
3829370407,Fraud,IDENTITYTHEFT,"{scam,cheat,stolenidentity,fake,trick,fraud,lie,phony,rippedoff,forged}","Could you explain what happened? If you noticed any unusual transactions or were tricked into giving out information, we’d like to know.",2024-11-07 02:04:25.110677
3015930641,Drug-Related Crimes,DRUG EQUIPMENT VIOLATIONS,"{drugs,high,stoned,DUI,drunk,possession,pills,weed,substance,narcotics}","If you noticed any substances or drug paraphernalia, could you let us know? Any context on how or where you observed it would be great.",2024-11-07 02:04:25.110677
7415974023,Drug-Related Crimes,DRUG NARCOTIC VIOLATIONS,"{drugs,high,stoned,DUI,drunk,possession,pills,weed,substance,narcotics}","If you noticed any substances or drug paraphernalia, could you let us know? Any context on how or where you observed it would be great.",2024-11-07 02:04:25.110677
4169010377,Theft,THEFT FROM MOTOR VEHICLE,"{stolen,missing,took,break-in,rob,purse,snatch,valuables,swipe,break,steal}",Could you share details on any items that went missing and where this happened? Any specifics you remember could be really helpful.,2024-11-07 02:04:25.110677
4916153765,Theft,POCKET-PICKING,"{stolen,missing,took,break-in,rob,purse,snatch,valuables,swipe,break,steal}",Could you share details on any items that went missing and where this happened? Any specifics you remember could be really helpful.,2024-11-07 02:04:25.110677
4613811663,Sex Crimes,SEX CRIMES,"{harassed,assaulted,inappropriate,molest,abuse,touched,violated,indecent}","If you feel comfortable, could you tell us about the incident? Any information on what occurred and where it took place would help.",2024-11-07 02:04:25.110677
7462378126,Fraud,COUNTERFEITING / FORGERY,"{scam,cheat,stolenidentity,fake,trick,fraud,lie,phony,rippedoff,forged}","Could you explain what happened? If you noticed any unusual transactions or were tricked into giving out information, we’d like to know.",2024-11-07 02:04:25.110677
9896017258,Cyber Crimes,HACKING / COMPUTERINVASION,"{hacked,online,phishing,malware,identitytheft,scam,internet,fraud}","If you can, please describe the online activity you’re concerned about. Any specifics on the issue or how it affected you would be useful.",2024-11-07 02:04:25.110677
7758458671,Fraud,EMBEZZLEMENT,"{scam,cheat,stolenidentity,fake,trick,fraud,lie,phony,rippedoff,forged}","Could you explain what happened? If you noticed any unusual transactions or were tricked into giving out information, we’d like to know.",2024-11-07 02:04:25.110677
9372403059,Liquor Violations,LIQUOR LAW VIOLATIONS,"{alcohol,drunk,drinking,underage,liquor,booze,public,intoxicated}","Could you tell us more about this liquor violations? Any details about the people involved, location, or what happened would help.",2024-11-07 02:04:25.110677
9423263019,Assault,INTIMIDATION,"{attack,hit,hurt,fight,punched,violence,weapon,threaten,injured,abuse}","Can you describe what happened during the incident? If there were any injuries or weapons involved, please feel free to mention those details.",2024-11-07 02:04:25.110677
860422987,Sex Crimes,PORNOGRAPHY / OBSCENEMATERIAL,"{harassed,assaulted,inappropriate,molest,abuse,touched,violated,indecent}","If you feel comfortable, could you tell us about the incident? Any information on what occurred and where it took place would help.",2024-11-07 02:04:25.110677
6974769582,Curfew and Loitering,CURFEW / LOITERING / VAGRANCY VIOLATIONS,"{curfew,loiter,minors,wandering,hangingout,late,stayingout,street}","Could you tell us more about this curfew and loitering? Any details about the people involved, location, or what happened would help.",2024-11-07 02:04:25.110677
8699811999,Fraud,EXTORTION / BLACKMAIL,"{scam,cheat,stolenidentity,fake,trick,fraud,lie,phony,rippedoff,forged}","Could you explain what happened? If you noticed any unusual transactions or were tricked into giving out information, we’d like to know.",2024-11-07 02:04:25.110677
6283587263,Fraud,WELFAREFRAUD,"{scam,cheat,stolenidentity,fake,trick,fraud,lie,phony,rippedoff,forged}","Could you explain what happened? If you noticed any unusual transactions or were tricked into giving out information, we’d like to know.",2024-11-07 02:04:25.110677
1219598552,Sex Crimes,PROSTITUTION,"{harassed,assaulted,inappropriate,molest,abuse,touched,violated,indecent}","If you feel comfortable, could you tell us about the incident? Any information on what occurred and where it took place would help.",2024-11-07 02:04:25.110677
2513694569,Homicide,MURDER AND NON-NEGLIGENT MANSLAUGHTER,"{killed,murder,shot,dead,stabbed,gun,homicide,death,body,weapon}","Could you share what you know about the incident, like where and when it happened, and any details about those involved?",2024-11-07 02:04:25.110677
4008316217,Arson,ARSON,"{fire,burn,blaze,ignite,torch,setfire,arson,burneddown,flame}",Can you share what you saw regarding the fire? Details on where it happened or if anyone was nearby would help us understand.,2024-11-07 02:04:25.110677
2799404973,Theft,THEFT FROM COIN-OPERATED MACHINE OR DEVICE,"{stolen,missing,took,break-in,rob,purse,snatch,valuables,swipe,break,steal}",Could you share details on any items that went missing and where this happened? Any specifics you remember could be really helpful.,2024-11-07 02:04:25.110677
2170174746,Animal Crimes,ANIMAL CRUELTY,"{animal,cruelty,abuse,neglect,dog,pet,harm,mistreat,fighting}","Could you tell us more about this animal crimes? Any details about the people involved, location, or what happened would help.",2024-11-07 02:04:25.110677
913851433,Theft,PURSE-SNATCHING,"{stolen,missing,took,break-in,rob,purse,snatch,valuables,swipe,break,steal}",Could you share details on any items that went missing and where this happened? Any specifics you remember could be really helpful.,2024-11-07 02:04:25.110677
1563927111,Human Trafficking,"HUMANTRAFFICKING ,SERVITUDE INVOLUNTARY","{trafficking,forced,smuggling,exploited,trapped,slavery,undercontrol}","If you feel comfortable, please share what you observed. Any details on the people involved, location, or situation would help immensely.",2024-11-07 02:04:25.110677
6524586426,Fraud,WIREFRAUD,"{scam,cheat,stolenidentity,fake,trick,fraud,lie,phony,rippedoff,forged}","Could you explain what happened? If you noticed any unusual transactions or were tricked into giving out information, we’d like to know.",2024-11-07 02:04:25.110677
5413647962,Gambling,OPERATING / PROMOTING / ASSISTING GAMBLING,"{bet,gamble,wager,poker,casino,money,illegal,dice,cards}","Could you tell us more about this gambling? Any details about the people involved, location, or what happened would help.",2024-11-07 02:04:25.110677
